role,job_count,demand_label
cloud engineer,240,High
ai engineer,120,High
database administrator,120,High
technical operations,120,High
statistics,120,High
network architect,120,High
machine learning engineer,120,High
it systems administrator,120,High
it consultant,120,High
information security analyst,120,High
full stack engineer,120,High
deep learning,120,High
data warehousing,120,High
big data engineer,120,High
data visualization expert,120,High
data scientist,120,High
data quality manager,120,High
data engineer,120,High
data architect,120,High
data and analytics manager,120,High
data analyst,120,High
business intelligence analyst,120,High
business analyst,120,High
technology integration,120,High
